collisions,steps,timestamp
1.0,3.0,1551182967.4319339
2.0,4.0,1551182967.452542
2.0,5.0,1551182967.461517
1.0,6.0,1551182967.481358
2.0,10.0,1551182967.5273652
2.0,11.0,1551182967.5413382
2.0,12.0,1551182967.556984
1.0,13.0,1551182967.571475
2.0,14.0,1551182967.585085
3.0,15.0,1551182967.599618
3.0,16.0,1551182967.6065989
2.0,17.0,1551182967.622161
2.0,18.0,1551182967.6391098
2.0,19.0,1551182967.64549
2.0,20.0,1551182967.660604
2.0,21.0,1551182967.673087
2.0,22.0,1551182967.688719
4.0,23.0,1551182967.695588
3.0,24.0,1551182967.709367
3.0,25.0,1551182967.722081
5.0,26.0,1551182967.72879
5.0,27.0,1551182967.742429
6.0,28.0,1551182967.760549
6.0,29.0,1551182967.7733781
6.0,30.0,1551182967.7898629
11.0,31.0,1551182967.803892
8.0,32.0,1551182967.810286
7.0,33.0,1551182967.827413
6.0,34.0,1551182967.842517
7.0,35.0,1551182967.858216
5.0,36.0,1551182967.8709671
5.0,37.0,1551182967.880172
5.0,38.0,1551182967.895157
9.0,39.0,1551182967.9086652
10.0,40.0,1551182967.9220622
8.0,41.0,1551182967.9287648
9.0,42.0,1551182967.9436128
9.0,43.0,1551182967.957558
8.0,44.0,1551182967.9716742
8.0,45.0,1551182967.9784498
7.0,46.0,1551182967.992432
7.0,47.0,1551182968.005431
8.0,48.0,1551182968.0237591
7.0,49.0,1551182968.039684
10.0,50.0,1551182968.054878
9.0,51.0,1551182968.071261
12.0,52.0,1551182968.079745
8.0,53.0,1551182968.09267
8.0,54.0,1551182968.10582
7.0,55.0,1551182968.121514
7.0,56.0,1551182968.1277661
9.0,57.0,1551182968.144346
7.0,58.0,1551182968.158798
8.0,59.0,1551182968.175383
8.0,60.0,1551182968.187787
11.0,61.0,1551182968.1975539
10.0,62.0,1551182968.2108889
7.0,63.0,1551182968.224679
6.0,64.0,1551182968.238708
6.0,65.0,1551182968.2551072
9.0,66.0,1551182968.271578
8.0,67.0,1551182968.277868
9.0,68.0,1551182968.294045
8.0,69.0,1551182968.307271
