dropped,latency,steps,timestamp
1.0,17.0,17.0,1551182967.623414
1.0,19.0,19.0,1551182967.646732
1.0,27.0,27.0,1551182967.743705
1.0,27.0,27.0,1551182967.744815
1.0,27.0,27.0,1551182967.745887
1.0,29.0,29.0,1551182967.7746408
1.0,29.0,29.0,1551182967.7757282
1.0,32.0,32.0,1551182967.8118699
1.0,33.0,33.0,1551182967.8287208
1.0,34.0,34.0,1551182967.84377
1.0,36.0,36.0,1551182967.8722181
1.0,37.0,37.0,1551182967.881367
1.0,47.0,47.0,1551182968.006701
1.0,48.0,48.0,1551182968.025016
1.0,49.0,49.0,1551182968.040928
1.0,50.0,50.0,1551182968.056117
1.0,50.0,50.0,1551182968.057175
1.0,54.0,54.0,1551182968.10708
1.0,56.0,56.0,1551182968.129368
1.0,58.0,58.0,1551182968.160013
1.0,13.0,60.0,1551182968.189047
1.0,64.0,64.0,1551182968.239936
1.0,65.0,65.0,1551182968.256371
1.0,67.0,67.0,1551182968.279361
1.0,19.0,70.0,1551182968.325724
1.0,76.0,76.0,1551182968.429152
1.0,76.0,76.0,1551182968.430579
1.0,18.0,78.0,1551182968.4665642
1.0,79.0,79.0,1551182968.476723
1.0,81.0,81.0,1551182968.5153751
1.0,83.0,83.0,1551182968.540119
1.0,19.0,83.0,1551182968.5413492
1.0,35.0,85.0,1551182968.574903
1.0,91.0,91.0,1551182968.6596951
1.0,92.0,92.0,1551182968.678803
1.0,92.0,92.0,1551182968.680345
1.0,24.0,93.0,1551182968.7005582
1.0,98.0,98.0,1551182968.7622988
1.0,100.0,100.0,1551182968.795051
1.0,103.0,103.0,1551182968.922086
1.0,39.0,105.0,1551182968.9445171
1.0,110.0,110.0,1551182969.013301
1.0,25.0,113.0,1551182969.055989
1.0,32.0,114.0,1551182969.073024
1.0,91.0,116.0,1551182969.105938
1.0,23.0,117.0,1551182969.122915
1.0,55.0,118.0,1551182969.140857
1.0,31.0,118.0,1551182969.141889
1.0,33.0,123.0,1551182969.213632
1.0,23.0,125.0,1551182969.243226
1.0,28.0,126.0,1551182969.2594502
1.0,128.0,128.0,1551182969.2932448
1.0,131.0,131.0,1551182969.339377
1.0,133.0,133.0,1551182969.364488
1.0,43.0,135.0,1551182969.3971589
1.0,36.0,136.0,1551182969.413887
1.0,40.0,140.0,1551182969.473322
1.0,22.0,142.0,1551182969.507892
1.0,40.0,142.0,1551182969.5089128
1.0,16.0,144.0,1551182969.542207
1.0,39.0,155.0,1551182969.695977
1.0,14.0,155.0,1551182969.697207
1.0,32.0,158.0,1551182969.7403321
1.0,26.0,158.0,1551182969.741384
1.0,62.0,158.0,1551182969.742383
1.0,26.0,164.0,1551182969.82228
1.0,27.0,167.0,1551182969.8621519
